revenue_date,revenue,dw_cid,pred_date
2021-02-13,21881.45421857081,17048,2020-02-14
2021-02-14,21881.45421857081,17048,2020-02-14
2021-02-15,21881.45421857081,17048,2020-02-14
2021-02-16,21881.45421857081,17048,2020-02-14
2021-02-17,21881.45421857081,17048,2020-02-14
2021-02-18,21881.45421857081,17048,2020-02-14
2021-02-19,21881.45421857081,17048,2020-02-14
2021-02-20,21881.45421857081,17048,2020-02-14
2021-02-21,21881.45421857081,17048,2020-02-14
2021-02-22,21881.45421857081,17048,2020-02-14
2021-02-23,21881.45421857081,17048,2020-02-14
2021-02-24,21881.45421857081,17048,2020-02-14
2021-02-25,21881.45421857081,17048,2020-02-14
2021-02-26,21881.45421857081,17048,2020-02-14
2021-02-27,21881.45421857081,17048,2020-02-14
2021-02-28,21881.45421857081,17048,2020-02-14
